editora,cnpj,endereco,telefone,email,site
Companhia das Letras,12.345.678/0001-01,"Rua Exemplo, 100 - São Paulo/SP",(11) 3123-4567,contato@companhiadasletras.com.br,https://www.companhiadasletras.com.br
Rocco,23.456.789/0001-02,"Av. Central, 250 - Rio de Janeiro/RJ",(21) 3456-7890,contato@rocco.com.br,https://www.rocco.com.br
HarperCollins Brasil,34.567.890/0001-03,"Rua das Letras, 45 - Rio de Janeiro/RJ",(21) 3987-1200,contato@harpercollins.com.br,https://www.harpercollins.com.br
Companhia das Letrinhas,45.678.901/0001-04,"Rua Exemplo, 120 - São Paulo/SP",(11) 3555-6677,contato@letrinhas.com.br,https://www.companhiadasletras.com.br/letrinhas
Record,56.789.012/0001-05,"Av. das Editoras, 200 - Rio de Janeiro/RJ",(21) 2200-3300,contato@record.com.br,https://www.record.com.br
José Olympio,67.890.123/0001-06,"Rua José Olympio, 10 - Rio de Janeiro/RJ",(21) 2333-4455,contato@joseolympio.com.br,https://www.joseolympio.com.br
Nova Fronteira,78.901.234/0001-07,"Rua Fronteira, 300 - Rio de Janeiro/RJ",(21) 2666-7788,contato@novafronteira.com.br,https://www.novafronteira.com.br
Global,89.012.345/0001-08,"Rua Global, 90 - São Paulo/SP",(11) 3111-2233,contato@globaleditora.com.br,https://www.globaleditora.com.br
Salamandra,90.123.456/0001-09,"Rua das Acácias, 75 - Rio de Janeiro/RJ",(21) 3777-8899,contato@salamandra.com.br,https://www.salamandra.com.br
Melhoramentos,01.234.567/0001-10,"Av. Melhoramentos, 500 - São Paulo/SP",(11) 3888-9900,contato@melhoramentos.com.br,https://www.melhoramentos.com.br
Pallas,02.345.678/0001-11,"Rua Pallas, 210 - Rio de Janeiro/RJ",(21) 3003-7788,contato@pallaseditora.com.br,https://www.pallaseditora.com.br
Alfaguara,03.456.789/0001-12,"Rua Alfaguara, 12 - São Paulo/SP",(11) 3222-4455,contato@alfaguara.com.br,https://www.alfaguara.com.br
Hedra,04.567.890/0001-13,"Rua Hedra, 40 - São Paulo/SP",(11) 3999-1100,contato@hedra.com.br,https://www.hedra.com.br
Objetiva,05.678.901/0001-14,"Av. Objetiva, 81 - Rio de Janeiro/RJ",(21) 3100-2200,contato@objetiva.com.br,https://www.objetiva.com.br
Ática,06.789.012/0001-15,"Rua Ática, 77 - São Paulo/SP",(11) 3141-5920,contato@atica.com.br,https://www.atica.com.br
Suma,07.890.123/0001-16,"Rua Suma, 18 - São Paulo/SP",(11) 3655-7788,contato@suma.com.br,https://www.suma.com.br
LeYa,08.901.234/0001-17,"Rua LeYa, 33 - São Paulo/SP",(11) 3700-1122,contato@leya.com.br,https://www.leya.com.br
Bertrand Brasil,09.012.345/0001-18,"Av. Bertrand, 400 - Rio de Janeiro/RJ",(21) 2999-4400,contato@bertrandbrasil.com.br,https://www.bertrandbrasil.com.br
Arqueiro,10.123.456/0001-19,"Rua Arqueiro, 55 - São Paulo/SP",(11) 3555-9911,contato@arqueiro.com.br,https://www.arqueiro.com.br
Agir,11.234.567/0001-20,"Rua Agir, 16 - Rio de Janeiro/RJ",(21) 3800-1122,contato@agir.com.br,https://www.agir.com.br
